timestamp,speakers ,words,tags
,KF,"I didn't read comic books. I was aware of the ""mushroom cloud"" and saw pictures of the testing in Nevada where it just scorches the whole Earth and people burn with their skin on and, I mean it is a total wipeout. I remember that, and I didn't have a bomb shelter. ",
11:19,CS,"So what were you to do. We can move on to civil rights. If you can remember, do you remember how it felt to watch the Civil Rights Movement unfold throughout the 1960s.",crm
,KF,"Yeah, I remember the war protests and I remember the march over Selma's bridge. But in Boise, Idaho I knew one black in highschool and I thought it was really neat because we made him homecoming king. So, I did not have a lot of black experience, but I was certainly aware of the discrimination. I remember hearing about Emmett Till getting murdered, lynched, it was horrible. I remember when Kennedy changed the laws to make integration a law. I remember seeing this one little black school girl being taken to a white school with armoured men all around her. I remember the Governer of Mississippi getting on TV and he said, ""White now, white forever, no segregation over my dead grave"". So you were aware of it. Boise, Idaho was pretty sheltered. ",
,CS,So how did you learn about those events? What were you reading or listening to?,media
,KF,I read a lot and I watched a lot of news. I have just always been a curious person about current events. ,
,CS,"Living in Boise, and that being more of a rural area, what was that community's reaction to the Civil Rights Movement?",crm;community
14:30,KF,"Well, I remember hearing from a few adults that they wished Martin Luther King would just shut up, settle down, and be happy. So there was very little understanding and still is not a huge understanding of what it is like to be black in America. I don't remember a lot of people talking to me about it. My parents weren't necessarily prejudice, except against the Japanese which always cracked me up. As I've grown up I realized that was because of the WWII, but I don't know. Did that answer your question?",
,CS,"Yeah, it does. And actually, we were talking about that prejudice against Japanese people today in class.  ",
,KF,"I know, when my mom would say that... I never heard, except for Martin Luther King to settle down... I never heard prejudice comments from my parents, ever. Except the Japanese. I would just kinda laugh and go, ""what's the deal with the Japanese?"". But then as I have gotten older, I realized she was a product of WWII. ",
,CS,"Yeah, that kind of shaped a lot of people. ",
,KF,I think it shaped her. It is kind of interesting that there wasn't that long held prejudice against the Germans. Isn't that interesting?,
,CS,"Yeah and we were talking about it and it is because the people, they talk about the European front and you go there and they are all singing Christmas songs, they look like them, they all have the same cultural norms. ",
,KF,"Exactly, they look like them. ",
,CS,"Yeah, and then when you go to the Pacific front, they were calling them savages and whatnot.  ",
,KF,"Horrible, horrible drawings of Japanese people and how they were depicted. ",
,CS,"Oh, you mean in propaganda?",
,KF,Yes. ,
16:30,CS,Do you remember MLK's assination?,assassination
,KF,"Yes. I remember Kennedy's assassination shortly after the Cuban Missle Crisis, and I remember Martin Luther King Jr.'s assassination and I remember the assassination of Lee Harvery Oswald, who shot Kennedy. They were moving him to a different jail, and a guy just walked up and shot him with all these police around. I remember Robert Kennedy getting shot. So, you know, there was a lot of violence and unrest. But I do remember Martin Luther King.",
,CS,What do you remember about that?,
17:50,KF,"I remember his plea for peaceful marches. He kind of tried to mirror Ghandi, and so he was very much into peaceful change. I remember the Black Panthers, who were radical and against Martin Luther King because they thought he was moving too slow. They would go in and bomb some stuff, I don't remember a lot of people dying. So there was even extremes in the black movements. ",crm
,CS,"Yeah, and you said how, especially the older generations, would say that MLK needed to settle down. So, I am sure their reactions to groups like Black Panthers-",
,KF,"""What is he complaining about"" [laughing].",
,CS,That's interesting,
,KF,"And frankly, I think he could still find things to complain about today. ",
19:04,CS,"Do you remember your community's reaction to MLK, or the world's? Was it mostly sadness and greif during that time?",assassination;community
,KF,"You know, Cooper, I just remember watching it on TV and hearing people who knew him talk. I lived in Boise, Idaho. No, I don't remember a lot of people talking about it. I do remember people being extremely sad and in shock over JFK's assassination. They weren't happy, I suppose about Martin Luther King but they just weren't as tied into it. I never heard anybody mention it, to tell you the truth. ",
20:00,CS,"That makes sense. Moving on to culture: What forms of media were prevelent in your life during this time? This can mean anything. I mean, TV, music. ",media
,KF,"Mostly TV, newspapers, and magazines. I remember reading Newsweek a lot. I can even remember that we were the second family on our block that got a TV. So, it was reletavely a new medium. We watched test pattern for about four days, we were all excited. Do you know what that is?",
,CS,No. ,
,KF,"Test pettern is a thing they used to do to make sure you are getting the signal, and it is just a black screen. So, that was exciting. ",
,CS,That is funny. What did you watch on TV?,
,KF,"I don't remember any favorites, I can't.",
21:28,CS,That's okay. Was music a big part of your life?,media
,KF,"Yeah, a lot. I was just thinking. I would watch TV when the Beatles were on TV or anytime musicians were on TV. We used to have to buy 45s, which are very small records and play 45s. You would go buy one when it came out. I was thinking about this project and I heard on the radio that the day after JFK was assassinated, the Beatles came out with ""She Loves Me"", and just started thinking, ""Wow. Look at how music changed from 'She Loves Me' to Woodstock"". Huge, huge. I would go to concerts if I could, or even if I wasn't supposed to [laughs]. So music was a big part of it. ",
22:52,CS,What artists did you mostly listen to?,media 
,KF,"The Who, Crosby Stills & Nash, Neil Young. Pretty much anybody that was at Woodstock, but I did not make it to Woodstock. ",
23:15,CS,Do you remember how influencial that was?,counterculture 
,KF,"Yeah, I was jealous [laughs]. I look back on it now, it was kind of a mess. But yeah, I remember it. It was pretty influencial. ",
,CS,Was it a big controversy?,
23:35,KF,"Yes, ""All those dirty hippies taking up iall that land with their long, scrappy hair and their free-lovin drugs. Why are we even hearing about this?"". You know, I was pretty young when the hippies started becoming a force and I always looked at them as being enlightened, being very politically aware, being activists, mobilizing, trying to find a better way, and as the years went on, so many of them actually just became drug addicts. So, I got a little disillusioned with the hippies. ",counterculture
,CS,"Okay, I'm back. Kaye's phone died, so we are just going to resume where we left off. Hopefully it's still working. We left off on your experience and influence of the counterculture that was prevelant in the hippies. ",
25:13:00,KF,"Yes, and I did want to clarify on the counter culture. I think that there were a lot of good people there that accomplished aazing things but my experience, I dont mean to make everyone seem the same, but my experience was a lot of people got addicted. ",counterculture
,CS,"Yeah, thank you for that clarification. That was your experience, so that is completely valid. Were there people in your life that were interested in that counter culture movement?",
,KF,"Well, my husband. Big time. He was politcal buff and an English and History major, so he had a lot of knowledge. He learned a lot in the Peace Corps and I think that is initially what I liked about him. A lot of people said he was really good-looking and I honestly did not notice because I liked his mind so much. I need bright people around me because I'm not that bright. ",
26:59:00,CS,"Yes you are! I guess that brings me to my next question which brings up gender in that time and the norms surrounding that. So, what was dating like?",dating
,KF,"I didn't date that much, but it was obviously conventional. You know, going to a dance, riding in the back seat, the boys open the door, the girl look pretty and smell nice. One of the reasons that Gary and I got along so well is that the first sign he gave me lit up and it said ""bullshit"" because I was the first woman to ever call him on it. So I was pretty, and still am, assertive. You know, never bought into the role of ""women"", that's why I can't cook [laughs].",
28:15:00,CS,Was that becoming more normal in that time?,gender
28:20:00,KF,"No, you know, the women's movement truly was a movement. It didn't just change overnight. All of these things took time and we are still seeing the effects of the Me Too Movement. But, there were a lot of people who thought the woman's place was in the home. Still, a lot of women went out and burned their bras. I never did that. ",movements;gender
,CS,What do you mean? What is that?,
,KF,"I just remember that they used to have marches, women's movement marches and they would burn their bras while they were marching. Or marched without a bra on. It was a point of being liberated, you know. ",
,CS,I guess that's a pretty good way to show that [laughs]. I haven't heard about that. ,
,KF,At least it brought attention to the cause [laughs].,
,CS,I am sure a lot more people listened. ,
,KF,"Oh a lot more watched. You know that, anyway. ",
29:36:00,CS,"Do you remember when women did gain more rights, such as access to birth control or credit cards?",movements;gender
,KF,"I think that they invention of birth control is what played a major part in what was ""sex, drugs and rock&roll"". You know, because that is unheard of. You don't have to worry about getting pregnant. But, I think that contributed to the movement. Does that answer your question?",
,CS,"Yeah, I was just asking what you remember of it, so yes. ",
,KF,"But, again, it is like any movement. It is still ongoing. The Me Too Movement, black justice. We are moving towards a more perfect union. We are just on a little detour here. ",
30:50:00,CS,Makes sense. Did you experience any of those feminist movements when you were in the workforce?,feminism
,KF,"Oh yeah. I was going to college and I was sitting at a bar waiting for my friend to get off work and the manager dropped by and said something like, ""Well you're not much to look at but we need some help"". I went ""Okay. Gee, thanks"" [laughs]. It was horrible, just horrible. The big joke was to do a ""man sandwhich wih women"", all the men had notches on their belts. It was very, very misogynitic. ",
,CS,"Yeah , I guess that shows how far we've come in a way. ",
,KF,Yeah. ,
32:00:00,CS,"Okay, my final question for you is: we now know how influential the 1960s was. Did it feel that earth-shattering to you at the time?",perception
,KF,"Yes, it did. I think the main thing was the marching. All the people gathering and marching for a cause. We don't really see that anymore and it really just brings it to the forefront. ",
,CS,"Yeah. Well, thank you for your time Kaye. Those are all the questions I have, so I apreciate you and sharing your experiences. ",
,KF,Well thank you for your time. ,
